season_id,episode,ep_ord,player_a,player_b,weight,event_type,format
s12_fresh_meat,11,11,Shane Landrum,Wes Bergmann,1.0,elimination,individual
s12_fresh_meat,11,11,Shane Landrum,Casey Cooper,1.0,elimination,individual
s12_fresh_meat,11,11,Linette Gallo,Wes Bergmann,1.0,elimination,individual
s12_fresh_meat,11,11,Linette Gallo,Casey Cooper,1.0,elimination,individual
s12_fresh_meat,12,12,Wes Bergmann,Shane Landrum,1.0,elimination,individual
s12_fresh_meat,12,12,Wes Bergmann,Linette Gallo,1.0,elimination,individual
s12_fresh_meat,12,12,Casey Cooper,Shane Landrum,1.0,elimination,individual
s12_fresh_meat,12,12,Casey Cooper,Linette Gallo,1.0,elimination,individual
s12_fresh_meat,13,13,Theo von Kurnatowski,Darrell Taylor,1.0,elimination,individual
s12_fresh_meat,13,13,Theo von Kurnatowski,Aviv Melmed,1.0,elimination,individual
s12_fresh_meat,13,13,Chanda Sneed,Darrell Taylor,1.0,elimination,individual
s12_fresh_meat,13,13,Chanda Sneed,Aviv Melmed,1.0,elimination,individual
s12_fresh_meat,14,14,Tina Barta,Theo von Kurnatowski,1.0,elimination,individual
s12_fresh_meat,14,14,Tina Barta,Chanda Sneed,1.0,elimination,individual
s12_fresh_meat,14,14,Kenny Santucci,Theo von Kurnatowski,1.0,elimination,individual
s12_fresh_meat,14,14,Kenny Santucci,Chanda Sneed,1.0,elimination,individual
s12_fresh_meat,15,15,Darrell Taylor,Derrick Kosinski,1.0,elimination,individual
s12_fresh_meat,15,15,Darrell Taylor,Diem Brown,1.0,elimination,individual
s12_fresh_meat,15,15,Aviv Melmed,Derrick Kosinski,1.0,elimination,individual
s12_fresh_meat,15,15,Aviv Melmed,Diem Brown,1.0,elimination,individual
s13_the_duel,1/2,1,Tyler Duckworth,Johnny Bananas,1.0,elimination,individual
s13_the_duel,3,3,Derrick Kosinski,Tyler Duckworth,1.0,elimination,individual
s13_the_duel,4,4,Aneesa Ferreira,Paula Meronek,1.0,elimination,individual
s13_the_duel,5,5,Nehemiah Clark,Kenny Santucci,1.0,elimination,individual
s13_the_duel,6,6,Robin Hibbard,Casey Cooper,1.0,elimination,individual
s13_the_duel,7,7,Big Easy Banks,Nehemiah Clark,1.0,elimination,individual
s13_the_duel,8,8,Svetlana Shusterman,Beth Stolarczyk,1.0,elimination,individual
s13_the_duel,9,9,Wes Bergmann,Derrick Kosinski,1.0,elimination,individual
s13_the_duel,10,10,Aneesa Ferreira,Robin Hibbard,1.0,elimination,individual
s13_the_duel,11,11,Brad Fiorenza,Big Easy Banks,1.0,elimination,individual
s13_the_duel,12,12,Svetlana Shusterman,Kina Dean,1.0,elimination,individual
s13_the_duel,13,13,CT Tamburello,Evan Starkman,1.0,elimination,individual
s13_the_duel,14,14,Aneesa Ferreira,Diem Brown,1.0,elimination,individual
s13_the_duel,15,15,Brad Fiorenza,CT Tamburello,1.0,elimination,individual
s13_the_duel,15,15,Svetlana Shusterman,Aneesa Ferreira,1.0,elimination,individual
s14_the_inferno_3,1,1,Davis Mallory,Abram Boise,1.0,elimination,individual
s14_the_inferno_3,2/3,2,Alton Williams,Tyri Ballard-Brown,1.0,elimination,individual
s14_the_inferno_3,3,3,Susie Meister,Jenn Grijalva,1.0,elimination,individual
s14_the_inferno_3,4,4,Jenn Grijalva,Rachel Moyal,1.0,elimination,individual
s14_the_inferno_3,5,5,Davis Mallory,Danny Jamieson,1.0,elimination,individual
s14_the_inferno_3,6,6,Davis Mallory,Danny Jamieson,1.0,elimination,individual
s14_the_inferno_3,7,7,Susie Meister,Jenn Grijalva,1.0,elimination,individual
s14_the_inferno_3,8,8,Jenn Grijalva,Colie,1.0,elimination,individual
s14_the_inferno_3,9,9,Ace Amerson,Kenny Santucci,1.0,elimination,individual
s14_the_inferno_3,10,10,Abram Boise,Timmy Beggy,1.0,elimination,individual
s14_the_inferno_3,11,11,Susie Meister,Jenn Grijalva,1.0,elimination,individual
s14_the_inferno_3,12,12,Susie Meister,Jenn Grijalva,1.0,elimination,individual
s14_the_inferno_3,13,13,Davis Mallory,Derrick Kosinski,1.0,elimination,individual
s14_the_inferno_3,13,13,Susie Meister,Aneesa Ferreira,1.0,elimination,individual
s14_the_inferno_3,14,14,Derrick Kosinski,Davis Mallory,1.0,elimination,individual
s14_the_inferno_3,15,15,Paula Meronek,Aneesa Ferreira,1.0,elimination,individual
s15_the_gauntlet_iii,1,1,Nehemiah Clark,Alex Smith,1.0,elimination,individual
s15_the_gauntlet_iii,2,2,Jillian Zoboroski,Angel Turlington,1.0,elimination,individual
s15_the_gauntlet_iii,2,2,Frank Roessler,Tyler Duckworth,1.0,elimination,individual
s15_the_gauntlet_iii,3,3,Jillian Zoboroski,Brooke LaBarbera,1.0,elimination,individual
s15_the_gauntlet_iii,3,3,Evan Starkman,Johnny Bananas,1.0,elimination,individual
s15_the_gauntlet_iii,4,4,Jillian Zoboroski,Janelle Casanave,1.0,elimination,individual
s15_the_gauntlet_iii,4,4,Frank Roessler,Zach Mann,1.0,elimination,individual
s15_the_gauntlet_iii,5,5,Coral Smith,Beth Stolarczyk,1.0,elimination,individual
s15_the_gauntlet_iii,5,5,Ryan Kehoe,Derek McCray,1.0,elimination,individual
s15_the_gauntlet_iii,6,6,Tori Hall,Melinda Collins,1.0,elimination,individual
s15_the_gauntlet_iii,6,6,Frank Roessler,MJ Garrett,1.0,elimination,individual
s15_the_gauntlet_iii,7,7,Evelyn Smith,Casey Cooper,1.0,elimination,individual
s15_the_gauntlet_iii,7,7,Nehemiah Clark,Ryan Kehoe,1.0,elimination,individual
s15_the_gauntlet_iii,8/9,8,Paula Meronek,Katie Cooley,1.0,elimination,individual
s15_the_gauntlet_iii,8/9,8,Adam King,Danny Jamieson,1.0,elimination,individual
s16_the_island,1,1,Kenny Santucci,Tonya Cooley,1.0,elimination,individual
s16_the_island,2,2,Johnny Bananas,Abram Boise,1.0,elimination,individual
s16_the_island,3,3,Robin Hibbard,Rachel Robinson,1.0,elimination,individual
s16_the_island,4,4,Jenn Grijalva,Ashli Robson,1.0,elimination,individual
s16_the_island,5,5,Dan Walsh,Tyri Ballard-Brown,1.0,elimination,individual
s16_the_island,6,6,Derrick Kosinski,Cohutta Grindstaff,1.0,elimination,individual
s16_the_island,7,7,Johanna Botta,Colie,1.0,elimination,individual
s16_the_island,8,8,Johanna Botta,KellyAnne Judd,1.0,elimination,individual
s17_the_duel_ii,1/2,1,Ryan Kehoe,Nick Brown,1.0,elimination,individual
