season_id,player,episode,game,opponent,fandom_result
s21_rivals,Cara Maria Sorbello,3,Door Jam,Theresa Jones,W
s21_rivals,Cara Maria Sorbello,7,Blast Off,Jasmine Reynaud,W
s21_rivals,Cara Maria Sorbello,7,Blast Off,Jonna Mannion,W
s22_battle_of_the_exes,Cara Maria Sorbello,5,X Battle,Emily Schromm,L
s22_battle_of_the_exes,Cara Maria Sorbello,5,X Battle,Ty Ruff,L
s23_battle_of_the_seasons_2012,Cara Maria Sorbello,1,Hall Brawl,Lacey Buehler,W
s23_battle_of_the_seasons_2012,Cara Maria Sorbello,1,Hall Brawl,Wes Bergmann,W
s23_battle_of_the_seasons_2012,Cara Maria Sorbello,3,Knot So Fast,Chet Cannon,L
s23_battle_of_the_seasons_2012,Cara Maria Sorbello,3,Knot So Fast,Sarah Rice,L
s24_rivals_ii,Cara Maria Sorbello,2,Hanging by a Thread,Anastasia Miller,W
s24_rivals_ii,Cara Maria Sorbello,2,Hanging by a Thread,Jessica McCain,W
s24_rivals_ii,Cara Maria Sorbello,8,Snapper,Jonna Mannion,W
s24_rivals_ii,Cara Maria Sorbello,8,Snapper,Nany González,W
s25_free_agents,Cara Maria Sorbello,3,Looper,Nia Moore,W
